Name,Country2,Fixed,FlexibleFloat and Pegged Float2012,Exchrate2012,inflation %2012,infdec2012,GDP growth (annual %)2012,exclude,GDPdec2012,Government Spending2012,index of human capital2012,Capital formation %GDP2012,capformdec2012,Exchrate2019,GDP growth (annual %)2019,GDPdec2019,inflation %2019,infdec2019,Government Spending2019,index of human capital2019,Capital formation %GDP2019,capformdec2019
Chile,Chile,,Free Floating,0,1.3,0.0130,5.4,0,0.054,83.7,2.968,25,0.250,0,0.942005307,0.009420053,2.557544757,0.025575448,81,3.145768881,22.99068279,0.229906828
China,China,,Craw-like Arrange.,0,2,0.0200,7.7,0,0.077,83.3,2.579,49,0.490,1,5.949714233,0.059497142,2.899234164,0.028992342,70.1,2.698987007,43.25110574,0.432511057
Republic of Congo,"Congo, Rep. of",Conventional Peg,,1,-1.2,-0.0120,3.8,0,0.038,60.1,2.156,26,0.260,1,0.232123661,0.002321237,2.206073058,0.022060731,40.6,2.044958591,23.72614395,0.237261439
Czech Republic,Czech Republic,,Free Floating,0,1.4,0.0140,-0.8,0,-0.008,43.5,3.386,26,0.260,0,3.029478257,0.030294783,2.847875959,0.02847876,52.1,3.674304247,27.61252001,0.2761252
Denmark,Denmark,Conventional Peg,,1,2.5,0.0250,-0.7,0,-0.007,5.9,2.927,19,0.190,1,2.114664208,0.021146642,0.758131573,0.007581316,14.4,3.59926486,21.96438304,0.21964383
Ecuador,Ecuador,No separate legal tender,,1,5,0.0500,5.2,0,0.052,47.3,2.591,28,0.280,1,0.012105103,0.000121051,0.266012515,0.002660125,55.5,2.76246953,25.90600572,0.259060057
Egypt,Egypt,,Craw-like Arrange.,0,12.4,0.1240,2.2,0,0.022,69.4,2.307,16,0.160,0,5.6,0.056,9.2,0.092,68.1,2.676786423,18,0.18
El Salvador,El Salvador,No separate legal tender,,1,1,0.0100,1.9,0,0.019,85.4,2.53,14,0.140,1,2.635146667,0.026351467,0.075324135,0.000753241,86.3,2.30672574,16.87897308,0.168789731
Estonia,Estonia,,Free Floating,0,2.7,0.0270,4.7,0,0.047,56.2,3.307,29,0.290,0,4.096342644,0.040963426,2.277259312,0.022772593,51.1,3.659491062,26.07588843,0.260758884
Finland,Finland,,Free Floating,0,2.6,0.0260,-1.5,0,-0.015,12.2,2.924,22,0.220,0,1.343755373,0.013437554,1.02409393,0.010240939,7.2,3.50445199,24.12483288,0.241248329
France,France,,Free Floating,0,1.2,0.0120,0.3,0,0.003,5.6,3.04,23,0.230,0,1.842971814,0.018429718,1.108254923,0.011082549,3.9,3.230137348,24.36464032,0.243646403
Gabon,Gabon,Conventional Peg,,1,-2.7,-0.0270,5.6,0,0.056,80.1,2.59,32,0.320,1,3.944946204,0.039449462,2.464567562,0.024645676,86.6,2.876266956,22.22699932,0.222269993
Germany,Germany,,Free Floating,0,1.5,0.0150,0.4,0,0.004,37.3,3.32,19,0.190,0,1.055508247,0.010555082,1.445667015,0.01445667,42.3,3.675377846,22.14113176,0.221411318
Greece,Greece,,Free Floating,0,0.1,0.0010,-6.6,0,-0.066,24.7,3.071,14,0.140,0,1.856675112,0.018566751,0.252978044,0.00252978,23.3,3.135317564,12.68904935,0.126890493
Honduras,Honduras,,Craw-like Arrange.,0,4,0.0400,3.9,0,0.039,79.2,2.385,26,0.260,0,2.653066255,0.026530663,4.365871598,0.043658716,78.2,2.4374547,22.73109068,0.227310907
Hong Kong,Hong Kong,Currency Board,,1,3.7,0.0370,1.5,0,0.015,88.9,3.013,25,0.250,1,-1.67975617,-0.016797562,2.864927988,0.02864928,90.3,3.267883778,18.19286638,0.181928664
Iceland,Iceland,,Managed Floating,0,3.1,0.0310,1.1,0,0.011,36.2,3.067,16,0.160,0,2.434823,0.02434823,3.013971792,0.030139718,44,3.282233,21.1966427,0.211966427
India,India,,Managed Floating,0,7.2,0.0720,4.7,0,0.047,77.9,1.93,35,0.350,0,4.041554187,0.040415542,3.723276483,0.037232765,77.3,2.171164513,30.66409648,0.306640965
Indonesia,Indonesia,,Craw-like Arrange.,0,4.4,0.0440,6.3,0,0.063,89.2,2.08,35,0.350,0,5.018159715,0.050181597,3.03058665,0.030305866,91.4,2.288165092,33.78040338,0.337804034
Ireland,Ireland,,Free Floating,0,1.3,0.0130,-0.3,0,-0.003,28.8,3.275,16,0.160,0,4.917006978,0.04917007,0.939044481,0.009390445,77.4,3.185516834,54.69750177,0.546975018
Israel,Israel,,Free Floating,0,4.1,0.0410,3,0,0.03,39.3,3.217,21,0.210,0,3.450279281,0.034502793,0.844128709,0.008441287,52.4,3.891540051,21.49070032,0.214907003
Italy,Italy,,Free Floating,0,1.6,0.0160,-2.3,0,-0.023,25.3,2.827,19,0.190,0,0.287449937,0.002874499,0.611246944,0.006112469,26.5,3.158385038,18.01056595,0.18010566
Jamaica,Jamaica,,Craw-like Arrange.,0,5.1,0.0510,0.7,0,0.007,67.7,2.884,20,0.200,0,0.892291654,0.008922917,3.905100009,0.039051,76,2.599545956,24.26909549,0.242690955
